stars,comment
2.0 out of 5 stars,"









  
  
    
  The shipping was incredibly fast. However my special edition box came damaged. Also after one day the AC Power cable went bad. Not a good experience to be honest I’m pretty disappointed.

  
"
5.0 out of 5 stars,"









  
  
    
  My son was very happy with it, and liked it so much, and product in all is good and customizable.

  
"
5.0 out of 5 stars,"









  
  
    
  Gift for grandson, last Christmas(2019)Loved it.

  
"
5.0 out of 5 stars,"









  
  
    
  everything works perfectly what wasnt perfect was the guy who deliever the package threw it other than that you should find ppls who deliever the packages not throw it on ppls door steps ring the bell and hightail and leave

  
"
5.0 out of 5 stars,"









  
  
    
  My husband and I love playing this. It's like being kids all over again. It's a great way to forget about the stress of work.

  
"
4.0 out of 5 stars,"









  
  
    
  It works I’m glad about that because I don’t usually get electronics and gaming accessories through the internet.I’m not happy about how it was packaged and how banged up the tablet tower is I understand it was refurbished but come on I open it up and the controller lights are blinking.I am still happy though! I just hope it lasts awhile!Thank you!

  
"
5.0 out of 5 stars,"









  
  
    
  I'm not into video games but I bought this for my 7 year old son and he loves it. He likes playing WWE on it

  
"
5.0 out of 5 stars,"









  
  
    
  Came perfectly and quickly. Great for kids and the whole family. Definitely pay attention to what kinds of controllers you need for multiplayer games, though. Some will work with just the ones that come with the console but some require another set!

  
"
5.0 out of 5 stars,"









  
  
    
  Product was exactly as described. Really like the Nintendo switch. Ordering through Amazon is a great experience. Was processed, shipped and arrived quickly.

  
"
5.0 out of 5 stars,"









  
  
    
  It was in stock and it wasnt over oriced

  
"
5.0 out of 5 stars,"









  
  
    
  Xmas gift for Grandson , he loves it

  
"
5.0 out of 5 stars,"









  
  
    
  I love it it came in good condition

  
"
2.0 out of 5 stars,"









  
  
    
  Switch seems to be ok so far but the supposedly ""new"" controller has a right joy con that drifts and won't stay connected.

  
"
5.0 out of 5 stars,"









  
    
  Excelente descripcion del producto

  
  
"
5.0 out of 5 stars,"









  
  
    
  Good system good buy but a little pricey.

  
"
5.0 out of 5 stars,"









  
  
    
  Gift - delivered early and kids love it

  
"
4.0 out of 5 stars,"









  
  
    
  Was a pain to set up for the kid I purchased this for! But otherwise great product.

  
"
5.0 out of 5 stars,"









  
  
    
  My only problem is that it doesn't come with instructions.

  
"
5.0 out of 5 stars,"









  
  
    
  Son loved this as a Christmas present.

  
"
5.0 out of 5 stars,"









  
  
    
  Good product.  Everything okay

  
"
5.0 out of 5 stars,"









  
  
    
  It is great.. The old one wasn't working right, but this is great

  
"
5.0 out of 5 stars,"









  
  
    
  Got this for my Son for Christmas! He LOVES it

  
"
5.0 out of 5 stars,"









  
  
    
  My family has gotten countless hours of enjoyment of out this little device!

  
"
4.0 out of 5 stars,"









  
  
    
  Nice addition.  Only for ring adventure. As a game console I love Xbox more.

  
"
4.0 out of 5 stars,"









  
  
    
  I really liked the product and it came in perfect condition but it was definitely well over it’s worth. The MSRP for the Nintendo switch is 300 dollars and it was sold for 448 dollars!!! If you can overlook that fact then it’s an amazing portable system and you’ll get a good use out of it.

  
"
5.0 out of 5 stars,"









  
  
    
  It was a gift and it was great

  
"
5.0 out of 5 stars,"









  
  
    
  Love it! Got here so fast and everything works! Thanks

  
"
5.0 out of 5 stars,"









  
  
    
  There is one thing that completely sells the Switch in my opinion: It seems every aspect(aside from one) of holding, picking up and down, docking, and generally ""living"" with the item has been thoroughly thought through. Playing while lying on your back is the only difficulty. 5/5

  
"
5.0 out of 5 stars,"









  
  
    
  I might have paid a little more than retail price but worth every penny item was intact not one scratch on it no missing parts and in original package and bags I am super happy and enjoying every minute of play time I recommend this seller to anyone looking for a switch

  
"
5.0 out of 5 stars,"









  
  
    
  Works perfectly after a week of use so far. Didn't arrive beat up or damaged at all.

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this for myself and i got the right console HAC-001(01) and it works just fine sd card works and games loaded up just fine a perfect gift for anyone of any age

  
"
5.0 out of 5 stars,"









  
  
    
  Very happy with this. Kinda upset that we went to Walmart today after I got this and its 60 bucks cheaper. But hey over all very happy. My woman has been playing it for 2 hours with that great smile. Worth every dime.

  
"
5.0 out of 5 stars,"









  
    
  Esta consola es maravillosa !!! La compre con unos accesorios y con el Mario Deluxe ... el envio fue rápido y todo llegó en perfecto estado !!! Mi niño sin dudas la disfrutara muchísimo!!!!

  
  
"
5.0 out of 5 stars,"









  
  
    
  My son loves it. Great game and great quality product.

  
"
5.0 out of 5 stars,"









  
  
    
  I love it. Can’t stop playing it.

  
"
5.0 out of 5 stars,"









  
  
    
  Very enjoyable

  
"
5.0 out of 5 stars,"









  
  
    
  Great deal

  
"
5.0 out of 5 stars,"









  
  
    
  Works great

  
"
5.0 out of 5 stars,"









  
  
    
  Box came in good condition and working. Had no problems so far (I've had it for about two months now.) Battery lasts a long time as well. Love it!

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this for my nephew, and it had everything he needs to connect it to the TV or to play himself. He is so happy! Fast shipping and a smooth transaction

  
"
5.0 out of 5 stars,"









  
  
    
  Great gift for the holidays.

  
"
5.0 out of 5 stars,"









  
  
    
  Daughter loves all the feature and the games that are comparable with it. Uses it at college. On tv and hand held feature.

  
"
5.0 out of 5 stars,"









  
  
    
  Package arrived on time packaged well. Good game console and couldn't really beat the price.

  
"
5.0 out of 5 stars,"









  
  
    
  A+

  
"
3.0 out of 5 stars,"









  
  
    
  Good product but very expensive compared to its original price and I can’t buy anything from bestbuy cause of this scalpers.

  
"
5.0 out of 5 stars,"









  
  
    
  Love it

  
"
5.0 out of 5 stars,"









  
  
    
  Bought  this for my grandsons Christmas gift.  He loved it! Works great!

  
"
4.0 out of 5 stars,"









  
  
    
  It’s really nice to have hand held or on the tvOne thing that I do not like is there is no Bluetooth so you can’t connect to your air pods

  
"
5.0 out of 5 stars,"









  
  
    
  So much fun. Kids and I have loved it!!!

  
"
5.0 out of 5 stars,"









  
    
  Funciono perfectamente bien

  
  
"
5.0 out of 5 stars,"









  
  
    
  Gift for my granddaughter ,she loves it was easy to connect to home wifi

  
"
5.0 out of 5 stars,"









  
    
  Una compra sin desperdicios! Todo llego excelente 👌 y en buen estado

  
  
"
5.0 out of 5 stars,"









  
  
    
  Super fun, my son loves to play it. Set up is super easy too! We love that its portable and can be played on the big TV at home. I can send my son to play while I finish my homework when his friends are not home

  
"
5.0 out of 5 stars,"









  
  
    
  I liked everything about this special edition Nintendo switch. It looks so nice. But the bad thing was that they delivered my package to the wrong address. They delivered my package to my next door neighbor. My neighbor notified me when the package arrived on her door. But everything else about the switch is amazing.

  
"
5.0 out of 5 stars,"









  
  
    
  In addition I was able to trade in my previous model and pick up a Switch Lite fully paid with the credit.

  
"
5.0 out of 5 stars,"









  
  
    
  It's a Nintendo switch

  
"
5.0 out of 5 stars,"









  
  
    
  I waited for a long time to get this Nintendo special edition! The green and blue is beautiful! I thought the animal crossing game was included in the console, but it was not. We still have to purchase animal crossing from the game shop

  
"
5.0 out of 5 stars,"









  
  
    
  My kids have NEVER had a video game console or anything other than what they can play on their iPhones and my teen loves this.  Who Knew!!!

  
"
5.0 out of 5 stars,"









  
  
    
  All I've been playing since I got one. Wish I got one sooner.

  
"
5.0 out of 5 stars,"









  
  
    
  Love the portability! Battery lasts a long time before needing to recharge. My kids each have one and love them!

  
"
5.0 out of 5 stars,"









  
  
    
  Even though the prices on the product was twice as expensive than MSRP, the product was recieved, had about a month to try the product, and everything works fine. I do suggest adding a little bit more on the packaging the carrier mightve spilled a drink and stained the box.

  
"
5.0 out of 5 stars,"









  
  
    
  Item was a gift made a young lady very happy

  
"
5.0 out of 5 stars,"









  
  
    
  Awesome!  Lots of fun!

  
"
5.0 out of 5 stars,"









  
  
    
  Very happy with this system. Not a fan of the color scheme  or Animal crossing but , it functions as it should and Its the first special edition switch that I am aware of.

  
"
5.0 out of 5 stars,"









  
  
    
  I love the animal crossing edition so much! Worth waiting for the re-release to get it. :)

  
"
5.0 out of 5 stars,"









  
    
  Igualito ke en la foto muy bonito

  
  
"
5.0 out of 5 stars,"









  
  
    
  The person I got the gift for loves it.  Intuitive interface,  user friendly,  great graphics and mobile.

  
"
5.0 out of 5 stars,"









  
  
    
  The switch works well and have plenty of games out on it.  My family and I have enjoy endless hours of video games thanks to this system.  I have had zero trouble with it so far.

  
"
5.0 out of 5 stars,"









  
  
    
  Haven't owned anything Nintendo since my  Wii and I'm very pleased with the progress they have made. As well as the direction they are following, making games feel like games and prioritizing fun over graphics.

  
"
5.0 out of 5 stars,"









  
    
  Solamente funciono 45 días , me siento decepcionada de mi compra .

  
  
"
5.0 out of 5 stars,"









  
  
    
  Wonderful game boys loved it

  
"
1.0 out of 5 stars,"









  
  
    
  Very hard to play

  
"
5.0 out of 5 stars,"









  
  
    
  Great spin on the product.

  
"
5.0 out of 5 stars,"









  
  
    
  My Son loves His Switch!

  
"
5.0 out of 5 stars,"









  
  
    
  Love this edition of the switch the colors and graphics on it are beautiful!

  
"
5.0 out of 5 stars,"









  
  
    
  Best system by Nintendo yet. Compact yet full of Nintendo magic. The game selection is awesome and, with a better battery life I’ll be gaming all the time. Good stuff!

  
"
5.0 out of 5 stars,"









  
  
    
  Boys love switch

  
"
5.0 out of 5 stars,"









  
  
    
  All great grandson loves it

  
"
5.0 out of 5 stars,"









  
  
    
  This was ordered by mistake as I didn't realize that it was a handheld.

  
"
5.0 out of 5 stars,"









  
  
    
  Works perfectly...Great for kids and adults

  
"
5.0 out of 5 stars,"









  
  
    
  Should have bought this year's ago. Family favorite

  
"
5.0 out of 5 stars,"









  
  
    
  Love Animal Crossings so love this product. Arrived quickly

  
"
5.0 out of 5 stars,"









  
  
    
  Fast delivery, love my switch

  
"
1.0 out of 5 stars,"









  
  
    
  Really bad business. Item failed to charge inside of 30 days. Item returned for a whopping refund of $1.00. Stay away from geek alliance.

  
"
5.0 out of 5 stars,"









  
  
    
  BEAUTIFUL!

  
"
5.0 out of 5 stars,"









  
  
    
  Now we really can’t leave the switch! Playing Mario Party and Animal Crossing almost every day. The deceleration is so cute. Recommended for Animal Crossing fans for sure!

  
"
5.0 out of 5 stars,"









  
  
    
  Great system wish price was normal I got it from 3rd party did get it way fastest

  
"
5.0 out of 5 stars,"









  
  
    
  NICE QUALITY AND FAST SHIPPING

  
"
5.0 out of 5 stars,"









  
  
    
  The Nintendo Switch an awesome console that allows you to carry it everywhere as well as play your favorite games on the big screen!

  
"
5.0 out of 5 stars,"









  
  
    
  was sad when i heard switches were gonna be hard to find, but when i heard Nintendo was restocking the animal crossing one i had to buy it, it came fast and had no problems with it

  
"
5.0 out of 5 stars,"









  
  
    
  I love my Switch! So much to do with this small and versatile device. I can’t wait to add more games to my collection!

  
"
1.0 out of 5 stars,"









  
  
    
  It wouldn’t let me access my Nintendo account so I called Nintendo and they informed me that the previous user banned it world wide. Other than that nothing was wrong with it.

  
"
5.0 out of 5 stars,"









  
  
    
  I wish I still could have had it for my second grandchild but I couldn't afford it and every time he went to visit us he would tell us all about it and other Nintendo products

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent product! My son loves it!

  
"
5.0 out of 5 stars,"









  
  
    
  Not only did this come in early, but also carefully packaged and in perfect condition. A beautiful piece of technology that I look forward to using for a long time to come.

  
"
5.0 out of 5 stars,"









  
  
    
  Great product, colorful handles, hours of fun

  
"
5.0 out of 5 stars,"









  
  
    
  Daughter loved her gift.What kid doesn't want a Nintendo

  
"
5.0 out of 5 stars,"









  
  
    
  Awesome and fun time enjoying with the family!

  
"
5.0 out of 5 stars,"









  
  
    
  At MSRP, this is great

  
"
5.0 out of 5 stars,"









  
  
    
  My son loves it

  
"
5.0 out of 5 stars,"









  
  
    
  5000% worth every penny.

  
"
1.0 out of 5 stars,"









  
  
    
  Controllers already not responding,  left and right drifting as if you were pushing the joystick. Amazon refurbished works better than buying new.  I bough one used and one new. New one was only bought the end of October.

  
"
5.0 out of 5 stars,"









  
  
    
  Got it for my son and he loves it.

  
"
5.0 out of 5 stars,"









  
  
    
  Christmas gift

  
"
5.0 out of 5 stars,"









  
  
    
  I was expecting it to come on the 19th of Aug. But it was delivered on the 14th to my house. Amazingly fast~ And very new and working wonderfully.  Thank you very much :)

  
"
5.0 out of 5 stars,"









  
  
    
  Awsome Video Game. Expensive games though.

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing quality, but make sure to buy a screen protector with it! I made the mistake of not, and now this guy is dealing with a big old scratch on the right side of his screen.

  
"
3.0 out of 5 stars,"









  
  
    
  When the switch came, it was bent. It was bowed just enough that it's hard to get it on the charging dock.

  
"
5.0 out of 5 stars,"









  
  
    
  Best Nintendo product ever! Great value! Perfect fun for everyone!

  
"
5.0 out of 5 stars,"









  
  
    
  This was a gift for my little brother and he loved it. Great product

  
"
5.0 out of 5 stars,"









  
  
    
  Battery live is amazing don't have to costally worry is going to die

  
"
5.0 out of 5 stars,"









  
  
    
  My son was very happy and satisfied with his new game.

  
"
5.0 out of 5 stars,"









  
  
    
  No complaints.

  
"
5.0 out of 5 stars,"









  
  
    
  Kids loved it.

  
"
5.0 out of 5 stars,"









  
  
    
  Love it

  
"
5.0 out of 5 stars,"









  
  
    
  Good game station

  
"
5.0 out of 5 stars,"









  
  
    
  I like everything about it, no dislikes.

  
"
5.0 out of 5 stars,"









  
  
    
  Great product. Arrived in brand new condition sooner than expected! Very happy with this purchase.

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent condition

  
"
5.0 out of 5 stars,"









  
  
    
  Works Excellent!!!!

  
"
1.0 out of 5 stars,"









  
  
    
  Frozen after using it 10 times. Apparently it is a known hardware issue. How can they sell such low quality product?

  
"
5.0 out of 5 stars,"









  
  
    
  It came faster then the estimated date. The product is nice.

  
"
4.0 out of 5 stars,"









  
  
    
  I love it only thing is one of the joy cons doesn’t snap it.

  
"
4.0 out of 5 stars,"









  
  
    
  Its durable and my son loves it.

  
"
5.0 out of 5 stars,"









  
  
    
  Gift for my son and he loved it!

  
"
5.0 out of 5 stars,"









  
  
    
  Great!

  
"
5.0 out of 5 stars,"









  
  
    
  10/10

  
"
5.0 out of 5 stars,"









  
  
    
  It’s a good switch

  
"
5.0 out of 5 stars,"









  
  
    
  everything is great shape. thanks.

  
"
5.0 out of 5 stars,"









  
  
    
  Great product love my new nintendo

  
"
5.0 out of 5 stars,"









  
  
    
  Love it

  
"
5.0 out of 5 stars,"









  
  
    
  Good nintendo switch console

  
"
1.0 out of 5 stars,"









  
  
    
  Haven't had it long at all and the left joycon has gone out completely.

  
"
1.0 out of 5 stars,"









  
  
    
  Terrible! Box damaged and missing parts inside!

  
"
5.0 out of 5 stars,"









  
  
    
  My son can't get enough of breathe of the wild.

  
"
5.0 out of 5 stars,"









  
  
    
  Lucky get one at regular price,everything is fine.  make fun!

  
"
5.0 out of 5 stars,"









  
  
    
  Beautiful switch runs smooth. Box came in perfect conedition.

  
"
5.0 out of 5 stars,"









  
  
    
  Very good product.  No problems so far. Works great.

  
"
5.0 out of 5 stars,"









  
  
    
  Worked perfect

  
"
5.0 out of 5 stars,"









  
  
    
  Son loved it.

  
"
5.0 out of 5 stars,"









  
  
    
  Kids love it！

  
"
5.0 out of 5 stars,"









  
  
    
  It’s very fun

  
"
5.0 out of 5 stars,"









  
  
    
  Great system.

  
"
5.0 out of 5 stars,"









  
  
    
  Solid product

  
"
5.0 out of 5 stars,"









  
  
    
  that i never saw one in real life and it is cool

  
"
5.0 out of 5 stars,"









  
  
    
  really good!

  
"
5.0 out of 5 stars,"









  
  
    
  Nice product

  
"
5.0 out of 5 stars,"









  
  
    
  Works great!

  
"
5.0 out of 5 stars,"









  
  
    
  Amazon is a responsible platform. The item is pretty cute.

  
"
5.0 out of 5 stars,"









  
  
    
  ☺

  
"
5.0 out of 5 stars,"









  
  
    
  My son loves this. He is 8.

  
"
5.0 out of 5 stars,"









  
  
    
  dope

  
"
5.0 out of 5 stars,"









  
  
    
  so much fun honestly

  
"
1.0 out of 5 stars,"









  
    
  Malo pedí nintendo Swich nuevo y me llegó uno usado me siento engañada

  
  
"
5.0 out of 5 stars,"









  
  
    
  good graphic. long battery

  
"
5.0 out of 5 stars,"









  
  
    
  Fantastic console, great delivery time

  
"
5.0 out of 5 stars,"









  
  
    
  You get what you pay for.

  
"
5.0 out of 5 stars,"









  
  
    
  🌈Best game machine in this century.

  
"
5.0 out of 5 stars,"









  
  
    
  Very good

  
"
5.0 out of 5 stars,"









  
  
    
  Kids love it

  
"
5.0 out of 5 stars,"









  
  
    
  Waooo, fast and accurate

  
"
5.0 out of 5 stars,"









  
  
    
  Perfect....I love it!

  
"
5.0 out of 5 stars,"









  
  
    
  5/5

  
"
5.0 out of 5 stars,"









  
  
    
  Fantastic! One of the best consoles I own!

  
"
5.0 out of 5 stars,"









  
  
    
  Nice 👍!!!!

  
"
5.0 out of 5 stars,"









  
    
  A mis hijos les encanta y a mi también!!!

  
  
"
5.0 out of 5 stars,"









  
  
    
  ❤️❤️❤️❤️❤️❤️

  
"
5.0 out of 5 stars,"









  
  
    
  It is so cute and amazing to play on!

  
"
1.0 out of 5 stars,"









  
  
    
  Sickening. Price gouging.

  
"
1.0 out of 5 stars,"









  
  
    
  Any amount over $300 is way too overpriced.  And any company that encourages this behavior deserves -1 stars.

  
"
1.0 out of 5 stars,"









  
  
    
  specially under these stressful conditions we find ourselves in trying to stay home and somehow making money WITHOUT being able to work.  suddenly someone wants to buy a switch because they have the time but nintendo is gouging the product. not cool to take advantage of peoples situations.

  
"
5.0 out of 5 stars,"









  
  
    
  Do not buy any of it. The third party sellers are crazy. I love this edition, but I am definitely not going to pay double of its price.  Sellers, keep them until the coronavirus ends, and have fun.

  
"
5.0 out of 5 stars,"









  
  
    
  I got mine at gamestop. Last one they had without a pre-order and I'm in love. This thing is so beautiful and well made like pretty much everything nintendo makes. I love the pastel color of the joy-cons.

  
"
5.0 out of 5 stars,"









  
  
    
  The Switch Lite may fall short in many areas, but this is the one to get. Its an improved original switch, with better battery life. However about 2 hours of battery life is the only difference, so if you find the old switch at a discount price that may be worth getting as well. This one has all the features and you can be sure all games will work with it, unlike the Switch Lite. The Switch Lite isn't worth getting IMO.The biggest pro IMO of the switch is the detachable joy-con's. I have never seen a handheld with detachable joy-con's before this one, and its a huge improvement. If you get sticky buttons, worn out buttons or have a problem with your joy-con's you can just swap them with a new set instead of having to replace the whole handheld. Because of Joy-con drift Nintendo is now fixing Joy-Con's for free so you can buy 2 sets of joy-con's and send one out while the other set is getting fixed. I play Pokemon and a lot of it which requires mashing the A button a lot so I used to find that the A button got worn down much faster than other buttons on previous systems. It was a very complicated procedure to fix this problem on previous handhelds, they didn't come apart too easily if you could get them apart at all. If you tinker or like taking things apart its much easier to take apart a single joy-con and replace a button pad rather than it is to take apart most of a handheld to reach the part that needs to be replaced. This increases the longevity of the system and makes it more durable without having to spend a lot of money on future systems.Its important that you look for the switch with the red box when buying, this is the newer model, the older model comes in a white box. Some places are still selling the older version for the same price as the new.

  
"
1.0 out of 5 stars,"









  
  
    
  joycons are BUILT TO BREAK. AC adapter is BUILT TO BREAK. Games are EXPENSIVE. Basically every piece will need to be replaced within 6 months. I am an adult who uses this a couple times a month and BOTH JOYCONS ARE BROKEN AND MY CHARGER IS BROKEN. It will not connect to TV anymore. NINTENDO IS DIRTY AND ALL THEY WANT IS ENDLESS MONEY.ALSO: During COVID 19 YOUR WARRANTY IS VOID, DO NOT FALL FOR IT

  
"
3.0 out of 5 stars,"









  
  
    
  so while i do love the switch and the games with it but with all this scallping and all that happening, i cant help but feel bad because apperently the sellers have such low brain cells that they cant comprehend that not everyone is going to a spare $600 or $700. id also like to metion that as soon as stock goes back into retail stores these third party sellers are going to go bankrupt. thank you for reading this review.

  
"
2.0 out of 5 stars,"









  
  
    
  I received this as a gift . The console shut down suddenly and would not charge or turn on for 3 weeks. Amazon wouldn't allow me to return it or exchange it because it was a gift. Nintendo only offers a repair kit but its not free. I finally got it to charge but after purchasing a game to play, the left joy con is broke. This all happened within 6 months of having it with little use! Now it's sitting, collecting dust. Do not gift it, and buy at your own risk 😡👎

  
"
1.0 out of 5 stars,"









  
  
    
  THIS IS WAY OVER PRICED! Shame on you!

  
"
5.0 out of 5 stars,"









  
  
    
  I had an NES in 1986 and gotten every Nintendo system at launch since. The Switch is the realization of the past 30+ years of Nintendo history. I'm looking forward to the next iteration.

  
"
3.0 out of 5 stars,"









  
  
    
  so i ordred the switch with the free $25, promotional card, but I got charged the $25.  whats up with that?

  
"
5.0 out of 5 stars,"









  
    
  HolaHace unos meses encontré este producto en amazon y me  encantó el precio es impresionante y el producto igual a mi hijo le encanta este producto no puede ser mejor estoy pensando en comprarme otra, para mi sobrino de seguro le va a encanta se los recomiendo mucho comprendo les va a encantar a quien se lo regales

  
  
"
1.0 out of 5 stars,"









  
  
    
  It was a gift for Valentines and luckily we didn’t wait a day longer or we wouldn’t have been able to return it. Upon opening it, the screen was literally so gross and dirty, we had to clean it before using it. Looked like a little kid was playing and got their food stuck to it. We hoped maybe that was all that was wrong, but nope, one of the joycons wouldn’t connect or hold a charge. Pretty upsetting if you ask me. Especially because it was given as a gift!

  
"
5.0 out of 5 stars,"









  
  
    
  My previous review was made out of anger based on, what turned out to be, a false delivery date that was much later than advertised. Luckily, since it a birthday gift for my son, it was delivered on time.

  
"
5.0 out of 5 stars,"









  
  
    
  My favorite portable device I’ve ever ownedHas kids and adult games you can choose from so there isn’t a limit on age range. I’d recommend it to anyone who needs a portable device

  
"
1.0 out of 5 stars,"









  
  
    
  I even set up an ""in-stock alert,"" got an alert a few seconds ago. Navigated my way over and clicked ""buy now"" within 30 seconds, and NOPE. ALL bought up AGAIN by the damned price gougers. This has gotten past stupid at this point. This happens one more time, and I'll just save up my money for a PS5 or something

  
"
5.0 out of 5 stars,"









  
  
    
  amazon shipped, arrived in 24 hrs, works perfectly brand new. Was a gift and Amazon got it delivered lightning fast. Works great and they love it. Would have taken  up to a week via Walmart.

  
"
5.0 out of 5 stars,"









  
  
    
  i love how this switch looks! i had a release date switch but this one is my new main switch because of the longer lasting battery (sorry old switch). i feel super scared the back will get scratched so if your as scared as me buy some transparent protection for this cutie! Don't support people reselling this switch for $100+, those people are rude!

  
"
5.0 out of 5 stars,"









  
  
    
  the gaming system is top notch but AMAZON IS REALLY LOSING IT.  This is 299.00 suggested and just try to contact Amazon it's like they have left the business and don't care.

  
"
5.0 out of 5 stars,"









  
  
    
  Didn’t get the hype until I finally got one.  Now my favorite system of all time.  So well done.

  
"
5.0 out of 5 stars,"









  
  
    
  Just what my daughter and son-in-law wanted for Christmas! They are very happy with their gift.

  
"
5.0 out of 5 stars,"









  
  
    
  Very well packed, come in perfect conditions, all works fine. No issues so far... Having fun as a kid!!!

  
"
5.0 out of 5 stars,"









  
  
    
  Awesome gaming device for my son to game with his friends

  
"
5.0 out of 5 stars,"









  
  
    
  NOT A BAD SYSTEM TO WHOM ARE A NINTENDO FREAK. I HAVE ENJOYED USING MY SON'S GAME SYSTEM!!!!

  
"
5.0 out of 5 stars,"









  
  
    
  Birthday present for my boyfriend and we both love it. We even watch YouTube on it. Very comfortable to hold and use. I don’t feel like my hands are small and I can’t reach controls.

  
"
5.0 out of 5 stars,"









  
  
    
  My kid loves the Nintendo Switch. Easy to work. Received quickly and packaged well.

  
"
5.0 out of 5 stars,"









  
  
    
  I got this on sale for my gf as a Christmas gift. Its here first system she ever got for Christmas and she really loves it!

  
"
5.0 out of 5 stars,"









  
  
    
  What more can be said about Nintendo switch? It is the maximum

  
"
5.0 out of 5 stars,"









  
  
    
  My son loved it! I played with it so much, I bought a second one for myself lol.

  
"
5.0 out of 5 stars,"









  
    
  Excelente, la caja con muy pocos detalles, pero lo más importante es la consola y sus aditamentos en perfectas condiciones.No hay más que decir, estoy muy satisfecho por la compra.Espero reseñar en unos meses sobre su funcionamiento.

  
  
"
5.0 out of 5 stars,"









  
    
  Llegó en perfecto estado y en 15 minutos la tenía instalada y estaba lista para jugar. Además de la consola se incluyen los dos joycons, por supuesto, también los sujetadores para los joycons, el HDMI, el cable para la corriente y además un adaptador (o como se llame) para que los joycons se usen como un control tradicional al estilo XBOX. Estoy muy contento con la compra y recomiendo mucho la consola principalmente para aquellos que gustan de los juegos clásicos de Mario y también considero que es la mejor consola para niños y no tan niños.

  
  
"
5.0 out of 5 stars,"









  
    
  Excelente producto! El envío fue rápido y llegó en excelentes condiciones. Lo único es que lamentablemente la pantalla salió con un pixel muerto y no se considera defecto de fábrica por Nintendo, lo bueno es que es casi imperciptible a menos que le pongas mucha atención. Es el mejor regalo de navidad que me he hecho!

  
  
"
5.0 out of 5 stars,"









  
  
    
  The product is as good as new. I’ve noticed that at the top near the power button there was a slight scratch, but the seller indicated that the condition otherwise was like new and consisted of a slight imperfection. Overall, excellent product, fast shipping and reliable!

  
"
5.0 out of 5 stars,"









  
    
  Los grabados del dock se sienten de muy buena calidad, los joycons son muy bonitos. Es perfecto para cualquier fan de Animal Crossing. 100% recomendado!Pd. Para los que todavía no estén seguros, no trae el juego, es solo la consola.

  
  
"
5.0 out of 5 stars,"









  
    
  Me encanto, el equipo es justo el que quería, la nueva versión (2019), está con descuento y pedí el envío normal de 60 pesos, mi fecha estimada de entrega era una semana después de la compra sin embargo recibí mi paquete al siguiente dia, todo en orden, no venía maltratado, como si lo hubiera comprado desde una tienda especializada 👍🏻👍🏻

  
  
"
1.0 out of 5 stars,"









  
  
    
  Apparently the dock is broken, no longer charging nor connecting to the TV. All cords are soundly connected. We've been using this gently for under 2 weeks

  
"
1.0 out of 5 stars,"









  
    
  El producto aparentemente en buen estado, pero estanos teniendo problemas con el. Apenas jugamos 30 min y se apaga por sobre calentamiento y no carga bien (en cdmx en temperatura templada) . Estamos buscando una respuesta sobre la garantía y saber que podemos hacer.

  
  
"
5.0 out of 5 stars,"









  
  
    
  I should have bought this a long time ago. Another quality product from Nintendo as expected. I bought this for my kids as a gift for christmas but i find myself playing more than they do. Supemario Kart Deluxe 8 and Supermario bros deluxe are must have games. Theyre expensive but it's worth it.

  
"
2.0 out of 5 stars,"









  
  
    
  Now that I have this in my hand the whole system feels horribly designed. The games are great fun but having the controllers swap in and out different types of holders feels like it could break. All of it feels like if could break but it's designed like fisher price toy.Was well packaged and arrived undamaged. This was greatly appreciated.

  
"
5.0 out of 5 stars,"









  
    
  Me llegó antes de tiempo y en excelentes condiciones. Lo conseguí en muy buen precio. El nintendo switch es la mejor consola de Nintendo y es bueno que están reviviendo juegos antiguos. El modo portátil es mi favorito.

  
  
"
5.0 out of 5 stars,"









  
    
  La consola llego en perfecto estado antes de lo esperado como siempre con amazon. Solo un detalle siempre se equivocan conmigo al momento de la entrega , porque hay dos calles con el mismo nombre en mi localidad, fuera de eso llego intacta la consola la compre con el pokemon sword y todo llego bien, la consola funciona super bien...Ademas de que la agarre con buen descuento en el buen fin mas el 10 adicional con mi tarjeta y aparte el descuento  de mi banco salio regaladisima.

  
  
"
5.0 out of 5 stars,"









  
    
  Maravillado con el producto, muy recomendable, especialmente para los niños y en familia, juego como Mario Party, Mario Kart, o Super Smash Brothers son suficientes para horas de diversión. Recomiendo el producto ampliamente.

  
  
"
5.0 out of 5 stars,"









  
    
  O produtor é ótimo e tem superado nossas expectativas. Diversão pra toda a família. A loja (Games Shop) havia enviado o produto errado, o antigo switch, mas fez a troca de forma adequada e eficiente. A única reclamação que tenho quanto aos vendedores é que em nenhum momento pediram desculpas pelo erro e transtorno.

  
  
"
5.0 out of 5 stars,"









  
    
  El empaque venía en muy buenas condiciones,  llegó bien sellado y completo el producto y antes de lo previsto.Al principio estaba indeciso entre el switch y el Ps4 pero la verdad no me arrepiento de haber escogido el switch.Nota: recomiendo compren junto con su consola una memoria micro sd de 128gb o mayor y un protector para su consola y un control extra si piensan jugar con amigos. Yo compré el pro controller y la verdad esta muy bueno, además es más cómodo que los Joy con.

  
  
"
