stars,comment
5.0 out of 5 stars,"









  
  
    
  I’m not much of a video game person, but my boyfriend convinced me to buy the switch. I love it! I see why all the hype haha. Very easy to bring around too. I like how I get to play by myself, play with a group when I have guests over, or play overcook with my boo to get some laughters in.

  
"
5.0 out of 5 stars,"









  
  
    
  Im a pc gamer but i wanted a portable console to play my rpgs and single player games when im in bed.The convenience of the switch has helped me relax after many stressful sweaty fps, or competitive games i play.I havent owned a nintendo product since the launch of the ds light and im pretty happy with this product and the colorscheme.Im 26 and will never be to old to enjoy my console.

  
"
4.0 out of 5 stars,"









  
  
    
  My switch came in a lot earlier than I was expecting it to so I am over the moon with that! Not to mention that it came in perfect condition (I bought it in New condition but was feeling a little suspicious about it, not going to lie) Everything is working wonderfully right now so I really can't complain at all about the product itself. I definitely paid WAY too much for it (over $500 with tax) but if you're looking for a switch now in this quarantine time, you'll know there's a serious shortage of available consoles. All in all, definitely recommend buying if you're as impatient to get it as I was.

  
"
5.0 out of 5 stars,"









  
  
    
  Product came the first day of the projected arrival timeframe which was an exciting surprise! Packaging was USPS in a sturdy USPS box and taped very well with ""do not break seal"" type packaging tape which I really appreciated. Product came as advertised in Nintendo box, brand new, all main gaming system components and accessories still in plastic wrap and scratch resistant wrap. I'm very very happy with this purchase!! It was purchased as a gift to a family member as a way to help with the stress of all that's going on and I couldn't be happier with my order! Thank you!

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this just to play Animal Crossing: New Horizons, and it didn't disappoint in the least! It's incredibly fun!One cool feature is that if you set up Parental Control using the free app, it will tell you how long you've played each day. Since I'm neither a parent nor do I need to be controlled, I disable restrictions and play-time limit so it doesn't actually interfere when I'm playing, but it is a bit sobering to see that yesterday I played for 6 hrs and 40 min.Also, if you set the play-time limit to 0 min everyday, the console will prompt you to disable Parental Control via a PIN. This could come in very handy if you have a sibling or roommate who likes to steal your Switch.I would also recommend getting a screen cover, either plastic or glass. I have a glass one that adheres like a second screen and haven't had any trouble yet, but then again I've only had it for 8 days and treat it very carefully.Overall, a great product, and worth every penny!

  
"
1.0 out of 5 stars,"









  
  
    
  I am very upset with this situation. I have purchased special editions of any number of consoles. If you buy the special edition of Destiny on PlayStation, you have the game. If you buy the special edition of Halo on Xbox, you have the game. If you buy the Wii Special Edition of Super Mario Bros 25th Anniversary, rest assured, you have the game. The first thing I saw when I opened the box was the message from Nintendo, ""GAME NOT INCLUDED"". But you do the publication and place it in a VERY SMALL font size and in a recondite place. VERY BAD AMAZON, VERY BAD.

  
"
5.0 out of 5 stars,"









  
  
    
  Buying a $300 item on amazon is terrifying! but this was our Christmas gift for my wife's parent and they loved it! it saved us time at the store and it was the perfect gift for them.- Package arrived on time- Box was well padded with those air bubblies- No fingerprints, scratches or damages anywhere on the packaging or the console- Everything was in place and we are happy customers

  
"
5.0 out of 5 stars,"









  
  
    
  This console is beautiful! I'm not a huge Animal Crossing fan but the new game did catch my eye even more when this Switch was announced. The pastel colors really work on the Switch, along with the design on the back. What really tempted me to buy this specific one was that it is the second version of the Switch. Which of course includes better battery life. I'm sure you've heard this all before, so I won't go any longer. It's a very pretty console and if you have your chance to get your hands on it for the normal market price. I'd suggest that you go for it!

  
"
5.0 out of 5 stars,"









  
  
    
  I got this for my 11-year-old daughter for Christmas and she LOVES it. Turns out my 5-year-old and husband enjoy playing on it as well! It's not a nice size screen and it's really cool that you can play it on the go or hook it up and play on the TV. You do need to make a Nintendo account, though, if you don't already have one in order to play on it, but overall set up was easy and didn't take too long. While the system was expensive it was definitely worth the investment! I do suggest getting a case to keep it in to keep it safe when not in use, though.

  
"
4.0 out of 5 stars,"









  
  
    
  This is my second Nintendo switch for my 2 kids. They get to play together at the same time either on TV or on the switch itself in seperate room. One thing that really makes me upset is the digital/download games. You can't download a game in one console (primary) and download the same game in the other console (different profile/account). Nintendo might have found a loophole to prevent losing more money by forcing people to buy second game for second console. Every game must be purchased two times for both Switches if they want to play together. Overall, Nintendo Switch console is worth it.

  
"
5.0 out of 5 stars,"









  
  
    
  Great product. Ordered it in the morning, 5 hours later was at my door. We live in beautiful times.Definitely recommend getting a Switch with colored joycons like this one, the black ones are dull and these Red/Blue ones retail for up to $80. Comes with everything you need except a carry case (which I would recommend instead of putting in your backpack lose) as well as picking up a good sized Micro SD card. I got like a 200gb one for $30-40 so I will never lose one of the tiny came cartridges.It's light weight and feels a little fragile, but not cheap feeling. Just wouldn't recommend dropping it like EVER. Anyway, great for all ages like 8-99yo. Bright screen, kick stand is a pain to open at first, but I've used that part like 2 times in 3 months.All n' all, would recommend!

  
"
3.0 out of 5 stars,"









  
  
    
  The product was in good condition. However, I purchased what appeared to be a new product. It was wasnt listed anywhere that I would be getting a used item. When my product arrived, I quickly realized that I was sold a used item because I didn’t have a pin to access any controls. The name of the previous family was listed on the product. I actually would t have minded a used Switch however I need to be able access the product. It’s very disappointing that I now have to wait over a month for another item.

  
"
5.0 out of 5 stars,"









  
  
    
  I had never played an Animal Crossing game before, but after seeing all of the trailers, I knew I had to have it.  I used NowInStock's website to get the red and blue for MSRP about 2 months ago, and have been having a blast with it ever since.  My boyfriend liked it so much he got one from GameStop about 3 weeks ago.  We could not be happier!

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this for my Grandkids for Xmas, so happy I got today!! Thanks Amazon as always.  This is what they wanted.  I will update after Christmas.  I love gaming stations.

  
"
5.0 out of 5 stars,"









  
  
    
  Since the COVID-19 pandemic, Nintendo Switch has been in incredibly high demand. To have been able to purchase one successfully through a reliable seller (Techool (Seller Fulfilled Ships Fast)), is a blessing. It is pricer now but well worth it, especially while playing and staying at home. It arrived new and in perfect condition. Very happy and pleased with my purchase. Highly recommend!

  
"
3.0 out of 5 stars,"









  
  
    
  The product seems pretty good so far. Smaller than I thought as I had never actually seen the device, but the screen is clear, and the first game we bought (Mario karts) had fantastic clear graphics.Controllers are very small and awkward. We might get the more traditional controllers to replace the funny little joy cons.This offer came with a $30 credit that was not applied at delivery. Not sure why they couldn’t just discount it at purchase. So inevitably it went wrong and I needed to complain - hence dropping a few stars. Now I have a promotional credit that can be applied to eligible items but doesn’t appear on my account. So basically, don’t get too excited about the promo offer as it is super painful to get the money.

  
"
1.0 out of 5 stars,"









  
  
    
  The only way Nintendo will hear is is through reviews. Limit purchases 1-2 per household. These people buying up special editions and reselling for double the price HAS to stop. DO NOT BUY FROM THEM. Let them sit on the consoles for as long as they possibly can. Nintendo make thousands more please - I beg you. Makes the people lose on their “investment” for once.

  
"
5.0 out of 5 stars,"









  
  
    
  Got this right before Christmas so our short family vacation during the holiday.  I use it at home and away.  We've got two extra controllers so the whole family can play together games like Mario Party, Mario Kart and etc.  I own several Nintendo game consoles like GameCube and Wii.  I think Nintendo’s switch is the most incredible system they’ve ever designed.

  
"
5.0 out of 5 stars,"









  
  
    
  Delivery was faster than expected (originally it was supposed to take over a month, it instead took ten days). However, I've known someone to recently purchase a Switch and it came 36 hours later and I know someone else that it took over 10 days and decided to just do curbside pickup with Best Buy instead.Otherwise, Switch was perfect.

  
"
4.0 out of 5 stars,"









  
  
    
  -1 Star because I hate price gougers, and I normally wouldn't ever support them for something like this, but I was behind the bus on the news about the release on this switch edition and decided if I was going to spend more on it I'd rather do it while it's still reasonable seeing as I was already spotting $700 ones which is outrageous. On another note the item came in pristine condition and as expected is very cute.

  
"
5.0 out of 5 stars,"









  
  
    
  Love the limited edition switch! Colors are vibrant and so frigging adorable!

  
"
1.0 out of 5 stars,"









  
  
    
  Beware American shoppers. This product came only with a European power cord so my family in the US was unable to use it on Christmas Day. There was no mention of this in the description but needless to say it caused huge disappointment. Amazon and the vendor should be ashamed of misleading customers

  
"
5.0 out of 5 stars,"









  
  
    
  The Switch is great and it can be enjoyed by everyone in the family. The only thing I did not like about it is the built-in stand it has on the back. It's very flimsy, keeps coming off and when in use it tends to fall off very easily, so you're probably going to have to look for an additional stand for it to play on some occasions.

  
"
3.0 out of 5 stars,"









  
  
    
  We bought this for our son's birthday and we haven't had it for even a year yet and it seems there is a hardware issue. We tried to use three different microSD cards (even the ones manufactured by Nintendo) to add more memory, but none of them worked. Formatting wasn't even an option. We kept getting error messages. I scoured the internet and used every troubleshooting option to no avail. We have only been able to use this Switch very minimally and is now being repaired by Nintendo since it is still under warranty. Also, because of a back up in repairs (due to Covid-19) we won't have it back for a couple months. Wish I could give it a raving review.

  
"
5.0 out of 5 stars,"









  
  
    
  Please ONLY buy from Seller Amazon or any other seller that sell at MSRP price and not over outrageous over +$300 price.  You are getting the same console nothing extra.  Overall this is a very good switch system and i love every min of playing it wherever I go.  This new model can also run extra hours compare with the older model.

  
"
3.0 out of 5 stars,"









  
  
    
  The switch is the same price as PS4 and it is hard to get. However, in my view it is not as powerful as PS4. Thought it has its own advantage such as small, easy to travel, etc. But, due to the current situation, these are not the points I am looking for. Most of the time, I just play games in my house so I would epect a console more powerful to match the picture quality of my TV. But switch can only play some small games not 3A games.

  
"
5.0 out of 5 stars,"









  
  
    
  Nintendo exceeded my expectations with this console, the portability, the quality of the games, the graphics and everything else about it is so great that you wouldn't be able to find any of these things on any other console, I've only played a few hours on Nintendo switch's exclusive games like Mario Odyssey or breath of the wild but even by playing 2 hours with these games you can see how much effort and care went into these games, especially with Mario odyssey.I can't recommend this console enough.

  
"
5.0 out of 5 stars,"









  
  
    
  This system is so much fun to use. Battery life is great- the first night I had it I played for almost 6 hours with no issue. It switches seamlessly from handheld to docked. Good price for what you get.

  
"
5.0 out of 5 stars,"









  
  
    
  Happy with the product.  This is the revision with the improved battery life, which is a noticeable improvement.  It also has slightly higher brightness and truer color compared to the past model due to a display upgrade.  The only flaw to be aware of is the dock can scratch the screen, which makes a screen protector a must-have.

  
"
2.0 out of 5 stars,"









  
    
  Le equipo funciona muy bien y sin fallas en mi caso particular el equipo llegó en una caja de Amazon  todo en una bolsa plástica con otro pedido que vino tinto con eso sin la caja original y sin manual la caja de Amazon era más pequeña que la caja del Nintendo no entiendo cómo sele ocurrió hacer eso al que realizó el empaque hice el reclamó y si Amazon se ofreció a qué realizará la devolución pero era navidad y era un regalo para mi sobrino y tuve que dejarlo así

  
  
"
5.0 out of 5 stars,"









  
  
    
  Got it once it restocked and payed $299 +tax. Had it for a few days now and LOVE it. The colors are great and I'm definitely glad I waited for a restock before setting on the red and blue console. The colors are vibrant yet very pastel. Happy with it so far and setup was easy. It did also come slightly charged so it was quick to turn on and start.

  
"
5.0 out of 5 stars,"









  
  
    
  Takes me back to my nitendo days! I just wish it wasn't so expensive!!! Games are $50 each,  extra joycons are $60..... I'm hoping the durability makes up for the huge price tag!

  
"
3.0 out of 5 stars,"









  
  
    
  After a few months, I'm noticing joycon drift already. I use it mostly in handheld mode. Battery is superior to the original, but the joycons still suck.

  
"
1.0 out of 5 stars,"









  
  
    
  Never connected with my television, has crashed and only shows error messages. basically a lemon.

  
"
5.0 out of 5 stars,"









  
  
    
  This was a gift for my grandson, absolutely the only thing he wanted. He was and is delighted with his Nintendo Switch. He can play alone or with others and there are so many games to choose from.

  
"
5.0 out of 5 stars,"









  
  
    
  I’m loving the design and everything else about this switch. This is my first time getting a switch so I can’t wait to experience a switch while I play animal crossing on Friday with it. I was lucky enough to grab one off amazon on release day before they sold out. If you can somehow get one without paying more than actual retail price then go for this switch and enjoy this beauty as I have.

  
"
1.0 out of 5 stars,"









  
  
    
  Not a v2 like the picture or title. it is a v1 switch. not bad price but still alittle more then what I would pay for a v1

  
"
5.0 out of 5 stars,"









  
  
    
  My 10y.o daughter very likes it, she said it's like a TV game, but small and can be carried outside. Delivered on time. Thanks.

  
"
3.0 out of 5 stars,"









  
  
    
  Basterds won't let me use my credit card on the eShop even though it's legit and works just fine literally EVERYWHERE else... but aside from that, it's great. Just annoyed with Nintendo customer service... as well as my card company- Capital One

  
"
4.0 out of 5 stars,"









  
  
    
  Pretty cool little machine, good graphics and unique game cartridge. Really enjoy playing g either handheld or on the tv. Pretty good games. Just missing a few of my favorites but does offer it's own unique Nintendo games

  
"
5.0 out of 5 stars,"









  
  
    
  I absolutely love this switch! I’ve been a huge fan of Animal Crossing since the days on GameCube. This is an absolute must for any real Animal Crossing fan. Completely blown away by how great the console looked when I opened it. 10/10 will always recommend!

  
"
5.0 out of 5 stars,"









  
  
    
  OMG!!! Finally I see this product is in stock at $299 price. I have been checking it for a while and it last time showed it would be sent by the end of December. Fortunately my delivery time keeps updating and it arrived ahead of schedule～All funtions work well and the game is really interesting. Very good experience！

  
"
4.0 out of 5 stars,"









  
  
    
  Got this as a gift for my son. The consel itself is good my son loves it. However the nintendo switch shop membership is pointless and the games are crazy expensive for what they are. I'm not sure I would buy it again. 4bstars cause to my 9yr old it's amazing

  
"
4.0 out of 5 stars,"









  
  
    
  this is the console version of driving a lamborghini, honestly gets so much attention due to its exclusivity. really cute pastel colors are very different to anything else we have seen in a switch console and it very pleasing to the eye. I wish it however was more accessible coz at this point i just regret opening this and using it since its so rare. Please restock in large amounts and I would truly give it 5 stars.

  
"
5.0 out of 5 stars,"









  
  
    
  We were supposed to get the switch  in October, but we didn't expect them to arrive so soon. I can buy it on 299.99, which makes me very happy. Several friends around me bought it around 370. Both of us are Nintendo fans and that keeps us from stopping to play games.

  
"
4.0 out of 5 stars,"









  
  
    
  I had been trying to find a switch ever since quarantine hit, but they were sold out everywhere. This one was about $400 after taxes and shipping, so it was overpriced $100 but it works great and was a lot easier than finding one on offer up. On top of that my delivery was super quick. I would have grave them 5 stars if it wasn't for the price gouge, regardless was worth it.

  
"
2.0 out of 5 stars,"









  
  
    
  I bought this unit to exercise with the help of my big screen TV; unfortunately it is not as easy to install as seen in the description.  I read the instruction but still could not install the station to my big screen TV; finally I am thinking to return it to the Seller. This assembly is made of thin plastic so I have to mount it next to the TV; I am afraid that it might break if accidental drop for some reasons. Its weight is quite light compared to other brands; game cartridges are not included and they cost about $50 each.  I am not happy with its performances so far and would not recommend to others.

  
"
5.0 out of 5 stars,"









  
  
    
  I love my switch. I was surprised about some of the games offered on the Nintendo store, I never realized the graphics were capable of some of those games (Skyrim, The Witcher 3..etc) battery life is great and it fits comfortably in my hand.

  
"
5.0 out of 5 stars,"









  
  
    
  This was a gift for my brother. Was happily surprised when I bought it on back order and it arrived a month before expected, in time for the holidays. So that was pretty awesome. Also it keeps him quiet (he's 20). Same price as everyone else.

  
"
2.0 out of 5 stars,"









  
  
    
  Pretty disappointed with the fact that I could find game sold separately anywhere in the sale s ad, so I assumed due to the huge price tag and the fact that animal crossing is all over the box that it came with it. Very unhappy! I feel purposely mislead.

  
"
5.0 out of 5 stars,"









  
  
    
  Outstanding special edition nintendo switch animal crossing. If you are a AC fan it is a must have! If you can get 2 and save one for later to sell as these are hard to find at this price!

  
"
5.0 out of 5 stars,"









  
  
    
  Love this product, came with everything I needed and worth every penny for it, I play all the time. It's in great condition and they did a great job on packaging so that it would not get damaged.

  
"
5.0 out of 5 stars,"









  
  
    
  I was so excited to have gotten the Mario edition. I was able to purchase at its usual price. The case exterior sporting a pattern of recognizable icons.

  
"
5.0 out of 5 stars,"









  
  
    
  Got it for my son .... he loves it of course he turned 11 and loves video games like all boys ... enjoys the portable switch as he can take it with him any where he goes .specially .. in the car . It’s a lovely gift

  
"
5.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   The Nintendo Switch is great at well, switching, no matter if it's on the bus or in the living room, the Nintendo Switch is a great console for the family or the dedicated gamer. This version, the V2, is a big upgrade over the original Switch and has a very noticeable extended battery life compared to the original Switch, with newer joycons included and a brighter LCD screen. Love it, use it everyday!

  
"
2.0 out of 5 stars,"









  
  
    
  Bought this and was unaware that it did not come with the game! Guess we were taken for a ride. Definitely price gouging. But lesson learned. Buyer be ware.

  
"
